{'loss': 0.9543, 'grad_norm': 2.3185384273529053, 'learning_rate': 4.327704485488127e-05, 'epoch': 0.37}
{'loss': 0.9957, 'grad_norm': 1.2603247165679932, 'learning_rate': 4.317150395778364e-05, 'epoch': 0.38}
{'loss': 0.9727, 'grad_norm': 1.825833797454834, 'learning_rate': 4.306596306068602e-05, 'epoch': 0.38}
{'loss': 0.9541, 'grad_norm': 1.4120880365371704, 'learning_rate': 4.296042216358839e-05, 'epoch': 0.38}
{'loss': 1.0447, 'grad_norm': 2.532074213027954, 'learning_rate': 4.2854881266490765e-05, 'epoch': 0.39}
{'loss': 0.971, 'grad_norm': 0.9368322491645813, 'learning_rate': 4.2749340369393145e-05, 'epoch': 0.39}
{'loss': 1.0228, 'grad_norm': 0.8060649633407593, 'learning_rate': 4.264379947229551e-05, 'epoch': 0.4}
{'loss': 0.9719, 'grad_norm': 0.8348478674888611, 'learning_rate': 4.253825857519789e-05, 'epoch': 0.4}
{'loss': 0.9578, 'grad_norm': 1.4613124132156372, 'learning_rate': 4.243271767810027e-05, 'epoch': 0.4}
{'loss': 1.0136, 'grad_norm': 0.6341243386268616, 'learning_rate': 4.232717678100264e-05, 'epoch': 0.41}
{'loss': 0.9551, 'grad_norm': 0.5131411552429199, 'learning_rate': 4.2221635883905015e-05, 'epoch': 0.41}
{'loss': 0.9921, 'grad_norm': 0.8134346604347229, 'learning_rate': 4.211609498680739e-05, 'epoch': 0.42}
{'loss': 0.951, 'grad_norm': 0.8430819511413574, 'learning_rate': 4.201055408970976e-05, 'epoch': 0.42}
{'loss': 0.9457, 'grad_norm': 0.6453051567077637, 'learning_rate': 4.190501319261214e-05, 'epoch': 0.42}
{'loss': 1.0077, 'grad_norm': 0.7082101106643677, 'learning_rate': 4.179947229551452e-05, 'epoch': 0.43}
{'loss': 0.9601, 'grad_norm': 1.1927636861801147, 'learning_rate': 4.169393139841689e-05, 'epoch': 0.43}
{'loss': 1.0122, 'grad_norm': 1.5054638385772705, 'learning_rate': 4.1588390501319264e-05, 'epoch': 0.44}
{'loss': 0.9685, 'grad_norm': 1.0484364032745361, 'learning_rate': 4.148284960422164e-05, 'epoch': 0.44}
{'loss': 0.9649, 'grad_norm': 1.4660099744796753, 'learning_rate': 4.137730870712401e-05, 'epoch': 0.44}
{'loss': 1.0048, 'grad_norm': 0.6003897190093994, 'learning_rate': 4.1271767810026386e-05, 'epoch': 0.45}
{'loss': 0.9647, 'grad_norm': 1.6571155786514282, 'learning_rate': 4.116622691292876e-05, 'epoch': 0.45}
{'loss': 1.0004, 'grad_norm': 1.0288680791854858, 'learning_rate': 4.1060686015831134e-05, 'epoch': 0.46}
{'loss': 0.9565, 'grad_norm': 0.5885619521141052, 'learning_rate': 4.0955145118733514e-05, 'epoch': 0.46}
{'loss': 0.9615, 'grad_norm': 0.811536967754364, 'learning_rate': 4.084960422163588e-05, 'epoch': 0.46}
{'loss': 1.0133, 'grad_norm': 0.711701512336731, 'learning_rate': 4.074406332453826e-05, 'epoch': 0.47}
{'loss': 0.9598, 'grad_norm': 0.8853806853294373, 'learning_rate': 4.0638522427440636e-05, 'epoch': 0.47}
{'loss': 0.9883, 'grad_norm': 0.6075036525726318, 'learning_rate': 4.053298153034301e-05, 'epoch': 0.48}
{'loss': 0.9622, 'grad_norm': 1.1658246517181396, 'learning_rate': 4.0427440633245383e-05, 'epoch': 0.48}
{'loss': 0.9635, 'grad_norm': 3.374443531036377, 'learning_rate': 4.0321899736147764e-05, 'epoch': 0.48}
{'loss': 1.0148, 'grad_norm': 0.590873122215271, 'learning_rate': 4.021635883905013e-05, 'epoch': 0.49}
{'loss': 0.9498, 'grad_norm': 0.676306962966919, 'learning_rate': 4.011081794195251e-05, 'epoch': 0.49}
{'loss': 0.9896, 'grad_norm': 0.7928801774978638, 'learning_rate': 4.0005277044854886e-05, 'epoch': 0.5}
